"precisao","ciclos"
0.816342,5
0.783877,10
0.78454,15
0.74727,20
0.711703,25
0.642378,30
0.640121,35
0.582715,40
0.591055,45
0.573294,50
0.568954,55
0.520371,60
0.5235,65
0.506508,70
0.519238,75
0.509606,80
0.501297,85
0.524353,90
0.503247,95
0.495903,100
0.495384,105
0.494646,110
0.505489,115
0.518093,120
0.511199,125
0.492504,130
0.504158,135
0.511299,140
0.492322,145
0.491814,150
0.511146,155
0.511849,160
0.511041,165
0.497425,170
0.511136,175
0.496141,180
0.491331,185
0.496612,190
0.510401,195
0.511542,200
0.502254,205
0.510793,210
0.496146,215
0.518028,220
0.489898,225
0.517559,230
0.523718,235
0.495008,240
0.500951,245
0.488862,250
0.494961,255
0.511802,260
0.500842,265
0.518293,270
0.517861,275
0.51884,280
0.518601,285
0.494455,290
0.512416,295
0.512279,300
0.488693,305
0.494237,310
0.489169,315
0.48952,320
0.513182,325
0.513801,330
0.513118,335
0.520021,340
0.519665,345
0.493669,350
0.488505,355
0.49429,360
0.488444,365
0.493747,370
0.513793,375
0.482881,380
0.521127,385
0.514782,390
0.520356,395
0.49228,400
0.499241,405
0.514558,410
0.520556,415
0.521442,420
0.487817,425
0.487816,430
0.488471,435
0.482075,440
0.515203,445
0.480997,450
0.515347,455
0.492329,460
0.521243,465
0.491863,470
0.486215,475
0.515477,480
0.497337,485
0.479556,490
0.485558,495
0.490538,500
0.527705,505
0.489594,510
0.484588,515
0.509396,520
0.515398,525
0.484769,530
0.522445,535
0.522803,540
0.522663,545
0.524019,550
0.495867,555
0.511792,560
0.530524,565
0.511786,570
0.485058,575
0.52514,580
0.484534,585
0.489879,590
0.524917,595
0.512374,600
0.51825,605
0.477406,610
0.518394,615
0.489248,620
0.489485,625
0.520183,630
0.519026,635
0.526412,640
0.525851,645
0.482665,650
0.526342,655
0.482877,660
0.527321,665
0.488279,670
0.526591,675
0.526487,680
0.482093,685
0.527086,690
0.520055,695
0.514477,700
0.520986,705
0.48706,710
0.527499,715
0.521122,720
0.527371,725
0.480728,730
0.492244,735
0.522304,740
0.521453,745
0.485209,750
0.53458,755
0.522524,760
0.521944,765
0.479832,770
0.536573,775
0.530266,780
0.479958,785
0.473569,790
0.48009,795
0.484057,800
0.536355,805
0.530201,810
0.478366,815
0.530587,820
0.482968,825
0.481841,830
0.529456,835
0.470457,840
0.488056,845
0.524186,850
0.482048,855
0.525086,860
0.537555,865
0.518395,870
0.488264,875
0.476282,880
0.476608,885
0.4698,890
0.526363,895
0.48134,900
0.481695,905
0.527325,910
0.474784,915
0.474369,920
0.526886,925
0.474365,930
0.479892,935
0.479227,940
0.484513,945
0.527646,950
0.526391,955
0.534202,960
0.527498,965
0.535059,970
0.527651,975
0.521996,980
0.528655,985
0.470756,990
0.535427,995
0.464357,1000
0.471344,1005
0.47609,1010
0.536119,1015
0.46348,1020
0.530075,1025
0.530848,1030
0.537088,1035
0.531495,1040
0.468739,1045
0.530964,1050
0.529666,1055
0.472948,1060
0.537418,1065
0.46126,1070
0.531993,1075
0.5397,1080
0.467122,1085
0.465887,1090
0.532729,1095
0.472204,1100
0.539705,1105
0.471313,1110
0.46593,1115
0.46484,1120
0.465135,1125
0.541308,1130
0.540414,1135
0.469083,1140
0.475348,1145
0.541235,1150
0.546452,1155
0.542223,1160
0.535427,1165
0.457149,1170
0.550013,1175
0.461729,1180
0.468511,1185
0.467002,1190
0.461368,1195
0.544964,1200
