"precisao","ciclos"
0.137801,10
0.145045,20
0.87207,30
0.838081,40
0.867029,50
0.144802,60
0.152096,70
0.833525,80
0.862666,90
0.149405,100
0.156724,110
0.828821,120
0.858139,130
0.154175,140
0.823373,150
0.164569,160
0.156039,170
0.854014,180
0.818325,190
0.169633,200
0.161003,210
0.816342,220
0.171576,230
0.846767,240
0.174165,250
0.165462,260
0.844884,270
0.808474,280
0.179533,290
0.839064,300
0.174208,310
0.80301,320
0.832934,330
0.188705,340
0.796601,350
0.183418,360
0.182561,370
0.828253,380
0.193619,390
0.791693,400
0.821704,410
0.783877,420
0.196278,430
0.203416,440
0.20237,450
0.816914,460
0.778853,470
0.201384,480
0.208441,490
0.776886,500
0.806948,510
0.207691,520
0.206528,530
0.77068,540
0.217775,550
0.801902,560
0.797399,570
0.217535,580
0.759905,590
0.228815,600
0.756763,610
0.786526,620
0.228784,630
0.235384,640
0.78454,650
0.238815,660
0.229279,670
0.748421,680
0.240531,690
0.779448,700
0.740293,710
0.240919,720
0.247225,730
0.772823,740
0.242849,750
0.735234,760
0.764308,770
0.259394,780
0.726851,790
0.254835,800
0.723602,810
0.25813,820
0.264015,830
0.7562,840
0.259884,850
0.718729,860
0.74727,870
0.276624,880
0.710046,890
0.73818,900
0.285716,910
0.275922,920
0.281243,930
0.738938,940
0.277427,950
0.70202,960
0.729667,970
0.690747,980
0.299763,990
0.289945,1000
0.294802,1010
0.725336,1020
0.686507,1030
0.296938,1040
0.301551,1050
0.68592,1060
0.297475,1070
0.715448,1080
0.301217,1090
0.711703,1100
0.673253,1110
0.317793,1120
0.702167,1130
0.314535,1140
0.318505,1150
0.669666,1160
0.314613,1170
0.698434,1180
0.660469,1190
0.330983,1200
0.657649,1210
0.682718,1220
0.340495,1230
0.330729,1240
0.651646,1250
0.333549,1260
0.679672,1270
0.343485,1280
0.333712,1290
0.679482,1300
0.642378,1310
0.349664,1320
0.346237,1330
0.336496,1340
0.646233,1350
0.670536,1360
0.66344,1370
0.359203,1380
0.349535,1390
0.634152,1400
0.657436,1410
0.365016,1420
0.625176,1430
0.361637,1440
0.363657,1450
0.655522,1460
0.361072,1470
0.623425,1480
0.363466,1490
0.365423,1500
0.653737,1510
0.618087,1520
0.640121,1530
0.605418,1540
0.387869,1550
0.378383,1560
0.379661,1570
0.639132,1580
0.604483,1590
0.383592,1600
0.629776,1610
0.386482,1620
0.599897,1630
0.393565,1640
0.597966,1650
0.618431,1660
0.397658,1670
0.39808,1680
0.593676,1690
0.399935,1700
0.618332,1710
0.397771,1720
0.615595,1730
0.582715,1740
0.411338,1750
0.402075,1760
0.585456,1770
0.403727,1780
0.403881,1790
0.614289,1800
0.401744,1810
0.585731,1820
0.605195,1830
0.415148,1840
0.577476,1850
0.416678,1860
0.407461,1870
0.605934,1880
0.573709,1890
0.592083,1900
0.427563,1910
0.418489,1920
0.594827,1930
0.424931,1940
0.415838,1950
0.572824,1960
0.591055,1970
0.560222,1980
0.43458,1990
0.425596,2000
0.587691,2010
0.431688,2020
0.561838,2030
0.428933,2040
0.423772,2050
0.565447,2060
0.583144,2070
0.436048,2080
0.427066,2090
0.426126,2100
0.591279,2110
0.56035,2120
0.430476,2130
0.559283,2140
0.576432,2150
0.442384,2160
0.437322,2170
0.556421,2180
0.573294,2190
0.441747,2200
0.44011,2210
0.4312,2220
0.558602,2230
0.575729,2240
0.546131,2250
0.44905,2260
0.567507,2270
0.447369,2280
0.445472,2290
0.548691,2300
0.564877,2310
0.449922,2320
0.447907,2330
0.439106,2340
0.551329,2350
0.567818,2360
0.450512,2370
0.44175,2380
0.571492,2390
0.542322,2400
0.452998,2410
0.444272,2420
0.568954,2430
0.540019,2440
0.534266,2450
0.46129,2460
0.452681,2470
0.560502,2480
0.532318,2490
0.460258,2500
0.457796,2510
0.558451,2520
0.459325,2530
0.450697,2540
0.540672,2550
0.556217,2560
0.461426,2570
0.533556,2580
0.548392,2590
0.465897,2600
0.547124,2610
0.520371,2620
0.473062,2630
0.470004,2640
0.464523,2650
0.551396,2660
0.52417,2670
0.468991,2680
0.466102,2690
0.52911,2700
0.543564,2710
0.470573,2720
0.464721,2730
0.54834,2740
0.4688,2750
0.526595,2760
0.466348,2770
0.463596,2780
0.552408,2790
0.524995,2800
0.470837,2810
0.524608,2820
0.538674,2830
0.475305,2840
0.469382,2850
0.5235,2860
0.537501,2870
0.478984,2880
0.473377,2890
0.542187,2900
0.515825,2910
0.477839,2920
0.515776,2930
0.480309,2940
0.534979,2950
0.478883,2960
0.47555,2970
0.53993,2980
0.474098,2990
0.519222,3000
0.513643,3010
0.482496,3020
0.532704,3030
0.481086,3040
0.531814,3050
0.506508,3060
0.489929,3070
0.481828,3080
0.531069,3090
0.482636,3100
0.511385,3110
0.484854,3120
0.479168,3130
0.470866,3140
0.522063,3150
0.536073,3160
0.51015,3170
0.522941,3180
0.490488,3190
0.486654,3200
0.528352,3210
0.485271,3220
0.508941,3230
0.487348,3240
0.508915,3250
0.521625,3260
0.493824,3270
0.485794,3280
0.482155,3290
0.473903,3300
0.519238,3310
0.533053,3320
0.507379,3330
0.519977,3340
0.493363,3350
0.489405,3360
0.481271,3370
0.47785,3380
0.517817,3390
0.531535,3400
0.505986,3410
0.518488,3420
0.494808,3430
0.490787,3440
0.482678,3450
0.530285,3460
0.504917,3470
0.491441,3480
0.483344,3490
0.479832,3500
0.53558,3510
0.509606,3520
0.522455,3530
0.493073,3540
0.485034,3550
0.509058,3560
0.521874,3570
0.493621,3580
0.502939,3590
0.491391,3600
0.485238,3610
0.508782,3620
0.487333,3630
0.527785,3640
0.502531,3650
0.491731,3660
0.487861,3670
0.52724,3680
0.4887,3690
0.480562,3700
0.51303,3710
0.526441,3720
0.501297,3730
0.493025,3740
0.51986,3750
0.495585,3760
0.489761,3770
0.506471,3780
0.487478,3790
0.525514,3800
0.500433,3810
0.512587,3820
0.500544,3830
0.496277,3840
0.500311,3850
0.496045,3860
0.518671,3870
0.494729,3880
0.518128,3890
0.495221,3900
0.49964,3910
0.49677,3920
0.490931,3930
0.505317,3940
0.488655,3950
0.524353,3960
0.491446,3970
0.483354,3980
0.510389,3990
0.523692,4000
0.489941,4010
0.523024,4020
0.492666,4030
0.503697,4040
0.492514,4050
0.522384,4060
0.49118,4070
0.50328,4080
0.515799,4090
0.497495,4100
0.4975,4110
0.498923,4120
0.49773,4130
0.509788,4140
0.505002,4150
0.497177,4160
0.493047,4170
0.503247,4180
0.515904,4190
0.497448,4200
0.493307,4210
0.485245,4220
0.527846,4230
0.502352,4240
0.514869,4250
0.490855,4260
0.505768,4270
0.497957,4280
0.493794,4290
0.521096,4300
0.496348,4310
0.498191,4320
0.491947,4330
0.502425,4340
0.515112,4350
0.500125,4360
0.494243,4370
0.520642,4380
0.495903,4390
0.498638,4400
0.514261,4410
0.500873,4420
0.49297,4430
0.501528,4440
0.496128,4450
0.4983,4460
0.494152,4470
0.520819,4480
0.492797,4490
0.501597,4500
0.514291,4510
0.500921,4520
0.492988,4530
0.489062,4540
0.506883,4550
0.520151,4560
0.495277,4570
0.507335,4580
0.507372,4590
0.499586,4600
0.495384,4610
0.507477,4620
0.505601,4630
0.501128,4640
0.493196,4650
0.519853,4660
0.495031,4670
0.501297,4680
0.493368,4690
0.501007,4700
0.51376,4710
0.50146,4720
0.49515,4730
0.50729,4740
0.50745,4750
0.499661,4760
0.493398,4770
0.500951,4780
0.513749,4790
0.501489,4800
0.513139,4810
0.502005,4820
0.494646,4830
0.499821,4840
0.513153,4850
0.489017,4860
0.507473,4870
0.499683,4880
0.4952,4890
0.507442,4900
0.505695,4910
0.501222,4920
0.495309,4930
0.498999,4940
0.494827,4950
0.520225,4960
0.49347,4970
0.489528,4980
0.506299,4990
0.519773,5000
0.495934,5010
0.487906,5020
0.525317,5030
0.499678,5040
0.496344,5050
0.488324,5060
0.505489,5070
0.518926,5080
0.511981,5090
0.503141,5100
0.495268,5110
0.4992,5120
0.494817,5130
0.518308,5140
0.493405,5150
0.502821,5160
0.494912,5170
0.49091,5180
0.504932,5190
0.518383,5200
0.495286,5210
0.499079,5220
0.511944,5230
0.503262,5240
0.495359,5250
0.498998,5260
0.496928,5270
0.518093,5280
0.493064,5290
0.501269,5300
0.497004,5310
0.518023,5320
0.511087,5330
0.50227,5340
0.497939,5350
0.498304,5360
0.511065,5370
0.486893,5380
0.509502,5390
0.501742,5400
0.511319,5410
0.487096,5420
0.509278,5430
0.501513,5440
0.495223,5450
0.49121,5460
0.504557,5470
0.518138,5480
0.511199,5490
0.502196,5500
0.49787,5510
0.498316,5520
0.492951,5530
0.50534,5540
0.509436,5550
0.501672,5560
0.511426,5570
0.487103,5580
0.507613,5590
0.503067,5600
0.497145,5610
0.489129,5620
0.504561,5630
0.518242,5640
0.492999,5650
0.501205,5660
0.511953,5670
0.503353,5680
0.497427,5690
0.517611,5700
0.492504,5710
0.501789,5720
0.497478,5730
0.489467,5740
0.52389,5750
0.49802,5760
0.492659,5770
0.505159,5780
0.508065,5790
0.503502,5800
0.492874,5810
0.501279,5820
0.511912,5830
0.503426,5840
0.495514,5850
0.498651,5860
0.49708,5870
0.518077,5880
0.511137,5890
0.486674,5900
0.507953,5910
0.503397,5920
0.495482,5930
0.491464,5940
0.504158,5950
0.51799,5960
0.492601,5970
0.505219,5980
0.508052,5990
0.503492,6000
0.495578,6010
0.491556,6020
0.523875,6030
0.497851,6040
0.495918,6050
0.498213,6060
0.497463,6070
0.517722,6080
0.498081,6090
0.497878,6100
0.511126,6110
0.502435,6120
0.496132,6130
0.497989,6140
0.511299,6150
0.504068,6160
0.496162,6170
0.492117,6180
0.503461,6190
0.517371,6200
0.498435,6210
0.516676,6220
0.491389,6230
0.502786,6240
0.491903,6250
0.504619,6260
0.510268,6270
0.502504,6280
0.492144,6290
0.503682,6300
0.495771,6310
0.517636,6320
0.492087,6330
0.504872,6340
0.508462,6350
0.50389,6360
0.492322,6370
0.503469,6380
0.495552,6390
0.517877,6400
0.510936,6410
0.486209,6420
0.509851,6430
0.502076,6440
0.51121,6450
0.504163,6460
0.492076,6470
0.50196,6480
0.49566,6490
0.49164,6500
0.503802,6510
0.517944,6520
0.497975,6530
0.517237,6540
0.491708,6550
0.502324,6560
0.510985,6570
0.504399,6580
0.491814,6590
0.502195,6600
0.511125,6610
0.486266,6620
0.508118,6630
0.503563,6640
0.497629,6650
0.498114,6660
0.511732,6670
0.501978,6680
0.511365,6690
0.504075,6700
0.496187,6710
0.497805,6720
0.497697,6730
0.498023,6740
0.511683,6750
0.502044,6760
0.497733,6770
0.51755,6780
0.496403,6790
0.497579,6800
0.511146,6810
0.486171,6820
0.509749,6830
0.501963,6840
0.497656,6850
0.51765,6860
0.491894,6870
0.502002,6880
0.511386,6890
0.48634,6900
0.509546,6910
0.501755,6920
0.495456,6930
0.498323,6940
0.497034,6950
0.518387,6960
0.492394,6970
0.503182,6980
0.495248,6990
0.518323,7000
